"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.518968750E0,-1.203497314E-1,-1.283431091E0,9.775571594E0,9.860196723E0
1.528892750E0,-1.351689148E-1,-1.284478912E0,9.788594513E0,9.873436041E0
1.538815750E0,-1.541793823E-1,-1.292412415E0,9.777517548E0,9.863769590E0
1.548738750E0,-1.594184875E-1,-1.308429108E0,9.777966614E0,9.866409280E0
1.558661750E0,-1.498384094E-1,-1.329834595E0,9.783505096E0,9.874608021E0
1.568584750E0,-1.589694214E-1,-1.356179810E0,9.785451050E0,9.880260482E0
1.578508750E0,-1.561253357E-1,-1.365011444E0,9.770033112E0,9.866163305E0
1.588431750E0,-1.450483704E-1,-1.358425140E0,9.776020660E0,9.871015036E0
1.598354750E0,-1.410067749E-1,-1.338965607E0,9.786648560E0,9.878825934E0
1.608277750E0,-1.437011719E-1,-1.343905334E0,9.798324280E0,9.891101570E0
1.618200750E0,-1.477427673E-1,-1.356030121E0,9.783654785E0,9.878286621E0
1.628123750E0,-1.270857239E-1,-1.334624634E0,9.787846069E0,9.879236022E0
1.638047750E0,-1.258882141E-1,-1.302142181E0,9.785301361E0,9.872362677E0
1.647970750E0,-1.225950623E-1,-1.283431091E0,9.801617432E0,9.886047198E0
1.657893750E0,-1.233435059E-1,-1.259480896E0,9.797875214E0,9.879264368E0
1.667816750E0,-1.246907043E-1,-1.270108795E0,9.801168365E0,9.883907398E0
1.677739750E0,-1.269360352E-1,-1.282982025E0,9.806706848E0,9.891089669E0
1.687663750E0,-1.270857239E-1,-1.291364594E0,9.818382568E0,9.903757345E0
1.697586750E0,-1.395098877E-1,-1.282083893E0,9.807305603E0,9.891736213E0
1.707509750E0,-1.333726501E-1,-1.275796967E0,9.809700623E0,9.893213455E0
1.717432750E0,-1.239422607E-1,-1.260678406E0,9.809700623E0,9.891152513E0
1.727355750E0,-1.121168518E-1,-1.238374786E0,9.811945953E0,9.890420906E0
1.737278750E0,-1.037342834E-1,-1.233285370E0,9.820627899E0,9.898307226E0
1.747202750E0,-9.909393311E-2,-1.229393463E0,9.819131012E0,9.896290301E0
1.757125750E0,-9.804611206E-2,-1.229094086E0,9.806407471E0,9.883618406E0
1.767048750E0,-9.714797974E-2,-1.245110779E0,9.801018677E0,9.880268503E0
1.776971750E0,-8.696914673E-2,-1.234482880E0,9.799222412E0,9.877057836E0
1.786895000E0,-8.427474976E-2,-1.241518250E0,9.807754669E0,9.886380604E0
1.796819000E0,-8.577163696E-2,-1.254541168E0,9.801467743E0,9.881801467E0
1.806742000E0,-8.996292114E-2,-1.268611908E0,9.805060272E0,9.887197603E0
1.816665000E0,-8.622070312E-2,-1.259929962E0,9.805958405E0,9.886944814E0
1.826588000E0,-7.963439941E-2,-1.267863464E0,9.801617432E0,9.883598721E0
1.836511000E0,-7.544311523E-2,-1.270557861E0,9.808802490E0,9.891037116E0
1.846434000E0,-7.110214233E-2,-1.275497589E0,9.805509338E0,9.888375145E0
1.856358000E0,-6.197113037E-2,-1.271156616E0,9.813143463E0,9.895325371E0
1.866281000E0,-6.765930176E-2,-1.263821869E0,9.821226654E0,9.902439926E0
1.876204000E0,-5.673202515E-2,-1.289568329E0,9.829010468E0,9.913407677E0
1.886127000E0,-4.954696655E-2,-1.309027863E0,9.833650818E0,9.920519001E0
1.896050000E0,-4.760101318E-2,-1.316961365E0,9.827363892E0,9.915328242E0
1.905974000E0,-4.999603271E-2,-1.301693115E0,9.822274475E0,9.908278379E0
1.915897000E0,-5.328918457E-2,-1.291065216E0,9.820328522E0,9.904975588E0
1.925820000E0,-5.628295898E-2,-1.282982025E0,9.819729767E0,9.903348088E0
1.935743000E0,-6.526428223E-2,-1.252295837E0,9.817185059E0,9.896950377E0
1.945666000E0,-7.259902954E-2,-1.229842529E0,9.814939728E0,9.891957598E0
1.955589000E0,-6.391708374E-2,-1.215771790E0,9.812395020E0,9.887632804E0
1.965513000E0,-6.676116943E-2,-1.210832062E0,9.807904358E0,9.882588691E0
1.975436000E0,-6.002517700E-2,-1.203647003E0,9.808952179E0,9.882707725E0
1.985359000E0,-5.718109131E-2,-1.228046265E0,9.797575836E0,9.874404264E0
1.995282000E0,-6.032455444E-2,-1.266067200E0,9.787397003E0,9.869128903E0
2.005205000E0,-5.822891235E-2,-1.288221130E0,9.791139221E0,9.875692965E0
2.015129000E0,-5.987548828E-2,-1.278491364E0,9.801018677E0,9.884234535E0
2.025052000E0,-6.182144165E-2,-1.261277161E0,9.785151672E0,9.866297949E0
2.034975000E0,-5.089416504E-2,-1.251846771E0,9.792636108E0,9.872458281E0
2.044898000E0,-4.385879517E-2,-1.240470428E0,9.783056030E0,9.861484461E0
2.054821000E0,-4.879852295E-2,-1.222807159E0,9.780211945E0,9.856479307E0
2.064744000E0,-5.568420410E-2,-1.233435059E0,9.786349182E0,9.863928887E0
2.074668000E0,-6.780899048E-2,-1.249451752E0,9.780661011E0,9.860378164E0
2.084591000E0,-8.083190918E-2,-1.255738678E0,9.789941711E0,9.870479833E0
2.094514000E0,-9.639953613E-2,-1.253942413E0,9.783355408E0,9.863858651E0
2.104437000E0,-9.610015869E-2,-1.245709534E0,9.780211945E0,9.859694375E0
2.114360000E0,-8.128097534E-2,-1.239123230E0,9.786498871E0,9.864967974E0
2.124284000E0,-9.220825195E-2,-1.251697083E0,9.779463501E0,9.859673134E0
2.134207000E0,-9.954299927E-2,-1.256936188E0,9.779613190E0,9.860559392E0
2.144130000E0,-1.101708984E-1,-1.257385254E0,9.780211945E0,9.861323491E0
2.154053000E0,-1.193019104E-1,-1.271605682E0,9.785451050E0,9.868448014E0
2.163976000E0,-1.215472412E-1,-1.294508057E0,9.785301361E0,9.871304249E0
2.173899000E0,-1.263372803E-1,-1.298998718E0,9.780211945E0,9.866909570E0
