"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.016750833E-1,-1.590592346E0,2.308200073E-1,1.016431320E1,1.029060371E1
9.115980833E-1,-1.742975464E0,-4.278103638E-1,1.009380981E1,1.025212084E1
9.215210833E-1,-1.778152313E0,-4.927752686E-1,1.032013916E1,1.048379346E1
9.314440833E-1,-2.220482483E0,-3.632945251E-1,1.086994583E1,1.110037151E1
9.413670833E-1,-3.050656128E0,-6.908134460E-1,1.141166931E1,1.183257886E1
9.512900833E-1,-3.084186401E0,2.245330811E-3,1.178155014E1,1.217855223E1
9.612130833E-1,-3.617976379E0,-8.625064087E-1,1.168125870E1,1.225909765E1
9.711360833E-1,-3.136278076E0,-8.554710388E-1,1.132889145E1,1.178608724E1
9.810590833E-1,-2.182012482E0,-6.975494385E-1,1.039663010E1,1.064601668E1
9.909820833E-1,-1.537452850E0,-1.723964996E0,9.719288635E0,9.990014422E0
1.000905083E0,-1.407822418E0,-7.803273010E-1,9.593101044E0,9.727202182E0
1.010828083E0,-1.772763519E0,-1.262774048E0,9.252259827E0,9.504819866E0
1.020751083E0,-1.591490479E0,-9.527687073E-1,9.194030914E0,9.379275804E0
1.030674083E0,-1.602268066E0,-1.243613892E0,9.328002319E0,9.545965941E0
1.040597083E0,-1.681154022E0,-1.210532684E0,9.231153717E0,9.460754049E0
1.050520083E0,-1.692081299E0,-1.035396881E0,9.134005737E0,9.346937821E0
1.060443083E0,-1.835034027E0,-1.195264435E0,9.146429901E0,9.404955443E0
1.070366083E0,-1.725012817E0,-9.728269958E-1,9.300908661E0,9.509414467E0
1.080289083E0,-2.101180573E0,-1.082399139E0,9.837991791E0,1.011793606E1
1.090212083E0,-3.072211304E0,-9.547146606E-1,1.053958282E1,1.101965374E1
1.100135083E0,-3.833677826E0,-7.575746155E-1,1.124820923E1,1.190769566E1
1.110058083E0,-4.289479980E0,-4.433779907E-1,1.157842255E1,1.235540737E1
1.119981083E0,-3.769910431E0,-2.276765442E-1,1.116064133E1,1.178235868E1
1.129904083E0,-3.102298737E0,-2.962339783E-1,1.042507095E1,1.088090605E1
1.139827083E0,-2.480342102E0,-6.253994751E-1,9.831555176E0,1.015887290E1
1.149749083E0,-2.251018982E0,-3.980223083E-1,9.464668121E0,9.736809070E0
1.159672083E0,-2.557581482E0,-4.971162415E-1,9.481582947E0,9.833044430E0
1.169595083E0,-2.521955566E0,-1.356179810E-1,9.844129028E0,1.016294881E1
1.179518083E0,-2.894381104E0,2.624043274E-1,1.008243347E1,1.049293871E1
1.189441083E0,-3.080893250E0,7.632627869E-1,1.022508682E1,1.070639406E1
1.199364083E0,-3.284619598E0,7.406597900E-1,1.002779709E1,1.057799685E1
1.209287083E0,-2.846929779E0,7.984396362E-1,9.982740784E0,1.041141818E1
1.219210083E0,-2.364333344E0,3.365002441E-1,9.739795990E0,1.002830646E1
1.229133083E0,-2.231858826E0,-3.061134338E-1,9.117090912E0,9.391285639E0
1.239056083E0,-2.096540222E0,-6.315367126E-1,8.934770050E0,9.199154057E0
1.248979083E0,-2.096689911E0,-5.763015747E-1,8.833730164E0,9.097418353E0
1.258902083E0,-2.023492126E0,-5.634283447E-1,8.812624054E0,9.059487546E0
1.268825083E0,-2.227667542E0,-6.173162842E-1,8.936117249E0,9.230264002E0
1.278744583E0,-2.412233734E0,-2.890489197E-1,9.122779083E0,9.440737210E0
1.288667583E0,-2.753673706E0,2.481838989E-1,9.508227539E0,9.902055598E0
1.298590583E0,-2.934347992E0,7.671546936E-1,9.776170349E0,1.023584052E1
1.308513583E0,-3.096610565E0,4.825964355E-1,9.667795715E0,1.016307878E1
1.318436583E0,-3.133433990E0,3.324586487E-1,9.725725250E0,1.022343724E1
1.328359583E0,-2.942281494E0,-1.344204712E-1,9.689799957E0,1.012755215E1
1.338282583E0,-2.677033081E0,-5.697152710E-1,9.448352051E0,9.836790029E0
1.348205583E0,-2.728975067E0,-8.656498718E-1,9.240284729E0,9.673650629E0
