"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.585895625E0,-9.685879922E-4,-1.036214642E-3,1.185282599E-3,1.848458364E-3
1.595818625E0,1.528692083E-4,1.523350365E-3,8.276200388E-4,1.740379344E-3
1.605740625E0,1.351507963E-3,-1.542069018E-3,1.372355502E-3,2.467369095E-3
1.615663625E0,-6.053827237E-4,-2.279497683E-3,3.142825328E-3,3.929370048E-3
1.625585625E0,-1.612246851E-4,2.274915576E-3,-2.847367432E-4,2.298327498E-3
1.635508625E0,-1.631555846E-3,-6.174203008E-5,5.296578165E-4,1.716485933E-3
1.645431625E0,-1.710040029E-3,7.812855765E-4,4.603238776E-4,1.935598648E-3
1.655353625E0,3.760140389E-4,-1.649353653E-4,2.974880394E-3,3.003082348E-3
1.665276625E0,9.378863033E-4,9.078886360E-4,5.518344697E-4,1.417185159E-3
1.675197625E0,1.483468805E-5,-9.211702272E-4,1.275148941E-3,1.573143184E-3
1.685120625E0,-3.311133478E-4,7.235677913E-4,1.959867077E-3,2.115245933E-3
1.695043625E0,-1.624877099E-3,-5.624722689E-4,8.743626531E-4,1.929018063E-3
1.704965625E0,3.556751180E-3,8.510015905E-4,2.132178517E-3,4.233304607E-3
1.714888625E0,-7.602329715E-4,-7.958961651E-4,3.406501142E-3,3.579895936E-3
1.724810625E0,5.830095033E-4,-7.739914581E-4,1.135651022E-3,1.492871764E-3
1.734733625E0,3.593039582E-4,8.454760537E-4,-3.820758080E-3,3.929646472E-3
1.744656625E0,1.638962887E-3,3.051226959E-4,-9.512637043E-4,1.919427477E-3
1.754578625E0,4.277622793E-3,1.847892068E-3,-6.467735395E-3,7.971471821E-3
1.764501625E0,6.251233630E-3,4.388383590E-3,-8.116120473E-3,1.114483037E-2
1.774423625E0,1.050563343E-2,6.337818690E-3,-1.397693902E-2,1.859814786E-2
1.784346625E0,1.043580659E-2,1.041494589E-2,-1.754534431E-2,2.291759726E-2
1.794269625E0,1.440205239E-2,1.331406366E-2,-2.620514482E-2,3.273214046E-2
1.804191625E0,1.338577829E-2,1.923806965E-2,-3.155198321E-2,3.930407140E-2
1.814114625E0,2.127965353E-2,2.379553765E-2,-3.936276585E-2,5.068015984E-2
1.824036625E0,2.296745591E-2,2.808773890E-2,-4.842220247E-2,6.050731195E-2
1.833959625E0,2.848126553E-2,3.442100435E-2,-5.803648010E-2,7.324084277E-2
1.843882625E0,3.339814395E-2,3.789029643E-2,-6.548915058E-2,8.270392631E-2
1.853804625E0,3.619872406E-2,4.257985950E-2,-7.932906598E-2,9.703861483E-2
1.863727625E0,3.953219205E-2,4.896752164E-2,-9.117268026E-2,1.107838888E-1
1.873649625E0,4.573336244E-2,5.686379597E-2,-9.742631763E-2,1.217247678E-1
1.883572625E0,4.942931980E-2,5.895210057E-2,-1.130209714E-1,1.367199612E-1
1.893495625E0,5.394923687E-2,6.203284115E-2,-1.253175884E-1,1.498769212E-1
