"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.461679375E0,3.453211783E0,-9.638060577E-2,-1.223662490E1,1.271491053E1
1.471673375E0,3.233989143E0,-1.023788696E0,-1.069748221E1,1.122243087E1
1.481667375E0,2.438692385E0,-2.158425983E0,-7.917769679E0,8.561372551E0
1.491661375E0,1.787982214E0,-3.412742034E0,-4.553394644E0,5.964653499E0
1.501655375E0,1.782109416E0,-4.239903193E0,-2.049505804E0,5.035192856E0
1.511649375E0,1.955298097E0,-3.706572222E0,-1.131408162E0,4.340731817E0
1.521643375E0,3.471405394E0,-2.248745000E0,-1.165957605E0,4.297320866E0
1.531637375E0,4.978857350E0,-7.865696423E-1,-1.686559188E0,5.315279317E0
1.541631375E0,5.101284013E0,9.682111307E-1,-2.085431682E0,5.595494319E0
1.551625375E0,4.511361349E0,2.971462609E0,-2.273336050E0,5.860889698E0
1.561619375E0,4.638581851E0,3.897500185E0,-1.400913348E0,6.218481124E0
1.571614000E0,5.339030047E0,3.389639392E0,1.370571561E0,6.470963101E0
1.581608000E0,6.683748145E0,1.314615608E0,5.252969558E0,8.601999339E0
1.591602000E0,8.419656079E0,-1.386423948E0,8.617553923E0,1.212744884E1
1.601596000E0,8.247871900E0,-2.182567821E0,1.147126881E1,1.429618835E1
1.611590000E0,6.340759830E0,-9.578869944E-1,1.213495819E1,1.372515913E1
1.621584000E0,4.568324632E0,1.070812516E0,9.521650992E0,1.061499256E1
1.631578000E0,2.870006693E0,3.601563245E0,5.803209507E0,7.408470612E0
1.641572000E0,1.119174544E0,5.725138654E0,2.408184537E0,6.311031376E0
1.651566000E0,-6.256976831E-1,6.902174394E0,-2.338441873E-1,6.934420816E0
1.661560000E0,-2.563160895E0,7.090931286E0,-1.536857604E0,7.695000427E0
1.671554000E0,-3.474240417E0,6.268352589E0,-6.857152587E-1,7.199499710E0
1.681549000E0,-3.490061813E0,4.534089476E0,2.339535302E0,6.181579431E0
1.691543000E0,-3.334233808E0,2.701858605E0,4.423090028E0,6.162863003E0
1.701537000E0,-3.070362706E0,2.486291059E0,4.760248668E0,6.186173111E0
1.711531000E0,-2.832388631E0,3.912421987E0,3.435417536E0,5.927188609E0
1.721525000E0,-1.971169194E0,5.687641044E0,3.251665860E-1,6.028308382E0
1.731519000E0,-1.127609518E0,7.101204844E0,-2.732523158E0,7.691898092E0
1.741513000E0,-9.219921800E-1,7.914430919E0,-4.763592691E0,9.283323848E0
1.751507000E0,-1.417076514E0,8.183554282E0,-5.848562851E0,1.015796997E1
1.761501000E0,-2.393178389E0,7.849091207E0,-6.294009587E0,1.034166777E1
1.771495000E0,-4.076373821E0,6.748836426E0,-5.071080805E0,9.374405429E0
1.781489000E0,-5.457154913E0,5.207203985E0,-2.076421123E0,7.823492683E0
1.791483000E0,-5.702497650E0,3.494357470E0,1.157300218E0,6.787367484E0
1.801477000E0,-5.010533472E0,2.125166728E0,3.446427843E0,6.442021746E0
1.811471000E0,-4.608775377E0,1.255460935E0,4.430414835E0,6.515026343E0
1.821465000E0,-4.625365098E0,6.666556746E-1,4.204464973E0,6.286171950E0
1.831459000E0,-3.706654667E0,7.810852464E-1,3.385299296E0,5.080318328E0
1.841453000E0,-2.096632316E0,2.101535791E0,2.937445847E0,4.176231298E0
1.851447000E0,-7.275794224E-1,2.817507759E0,3.429450452E0,4.497649630E0
1.861441000E0,-3.106064343E-1,2.349858269E0,5.137074235E0,5.657547343E0
1.871435000E0,-1.607721472E0,2.076582798E0,7.537176166E0,7.981603160E0
1.881429000E0,-2.510524552E0,1.427047625E0,9.330230108E0,9.766902904E0
1.891423000E0,-2.312331716E0,4.651606232E-3,1.060881269E1,1.085789143E1
1.901417000E0,-1.174447689E0,-2.735799645E0,1.116302933E1,1.155323119E1
1.911411000E0,-2.042987328E0,-4.685786131E0,1.160121032E1,1.267747884E1
1.921405000E0,-3.676288322E0,-4.502779391E0,1.071054255E1,1.218629721E1
1.931400000E0,-2.860017017E0,-3.763238173E0,7.622452544E0,8.969026796E0
1.941394000E0,-9.377066452E-1,-2.275155557E0,4.635545100E0,5.248228743E0
1.951388000E0,1.334710003E0,-8.435946129E-1,1.646665390E0,2.281361342E0
1.961382000E0,3.396169270E0,-6.048213691E-2,-3.669958127E-1,3.416476215E0
1.971376000E0,3.886297797E0,-5.352690312E-1,-1.087104394E0,4.070825403E0
1.981370000E0,2.652252581E0,-2.115272947E0,-8.682700092E-1,3.501816129E0
1.991364000E0,7.044352658E-1,-3.780995582E0,-1.780149722E-1,3.850174797E0
2.001358000E0,-1.077411903E0,-5.421515549E0,8.592623734E-1,5.593923407E0
2.011352000E0,-2.178613641E0,-6.559437509E0,1.661430779E0,7.108651776E0
2.021346000E0,-2.086497775E0,-6.823643364E0,1.889833547E0,7.381534567E0
2.031340000E0,-9.743645212E-1,-6.333102901E0,1.258485700E0,6.530035592E0
2.041334000E0,5.801862455E-1,-5.192023444E0,-7.599363059E-1,5.279320668E0
2.051328000E0,1.767237316E0,-3.826690696E0,-3.705766475E0,5.612432145E0
2.061322000E0,2.593062971E0,-2.589592064E0,-6.664443562E0,7.605574970E0
2.071316000E0,2.567072975E0,-1.769857015E0,-8.855527999E0,9.388430841E0
2.081310000E0,1.983167973E0,-1.577410383E0,-1.042079547E1,1.072446535E1
2.091304000E0,1.480252902E0,-1.673414501E0,-1.095479127E1,1.118029143E1
2.101298000E0,8.689096946E-1,-1.893677799E0,-1.106910434E1,1.126348483E1
2.111292000E0,8.358493911E-1,-2.184260736E0,-1.128772471E1,1.152746149E1
2.121286000E0,1.417090401E0,-2.411263681E0,-1.048028621E1,1.084706121E1
2.131280000E0,2.429509625E0,-2.547692671E0,-8.743265551E0,9.425388452E0
2.141274000E0,3.551299410E0,-2.877900726E0,-6.717649716E0,8.125322012E0
2.151268000E0,4.491277333E0,-3.073769002E0,-4.785157222E0,7.246886062E0
2.161262000E0,5.385423610E0,-2.957890636E0,-3.488872197E0,7.065701217E0
2.171256000E0,5.013751779E0,-2.611068302E0,-3.269217448E0,6.530173604E0
2.181250000E0,3.808590932E0,-1.756622134E0,-3.475269234E0,5.446887410E0
2.191244000E0,3.808644726E0,-2.939773916E-1,-4.011944813E0,5.539665923E0
2.201239000E0,4.470018319E0,2.638804570E0,-5.060392680E0,7.249270818E0
2.211233000E0,4.864368576E0,5.421176995E0,-5.017748936E0,8.844718539E0
2.221227000E0,5.417786779E0,5.906646752E0,-2.972858924E0,8.548612731E0
2.231221000E0,5.637218165E0,3.999280329E0,1.681604843E0,7.113386439E0
2.241215000E0,4.833050596E0,4.671765970E-1,8.033290780E0,9.386713631E0
