"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.906771672E1,5.147984144E1,5.672207984E0,1.943051169E1,6.374356360E1,4.191809348E0,1.302216315E2,4.259077905E-1,4.744871213E0,3.363143500E0,-1.000000000E0
6.006772470E1,5.147979991E1,5.672288905E0,2.028992730E1,6.460313846E1,5.783811628E0,1.272168761E2,4.330653082E-1,4.742845244E0,3.366000004E0,-1.000000000E0
6.106773341E1,5.147976834E1,5.672378975E0,2.013753535E1,6.445087961E1,6.519146523E0,1.220859320E2,4.407605947E-1,4.743296994E0,3.365363377E0,-1.000000000E0
6.206774139E1,5.147971126E1,5.672441808E0,2.026316968E1,6.457671246E1,6.935952153E0,1.268953094E2,4.488709572E-1,4.740535880E0,3.369251638E0,-1.000000000E0
6.306775022E1,5.147968243E1,5.672549385E0,2.018002081E1,6.449369581E1,7.514992082E0,1.294127285E2,4.571606641E-1,4.740767435E0,3.368925816E0,-1.000000000E0
6.406775939E1,5.147963464E1,5.672641266E0,2.024576634E1,6.455962408E1,8.021911209E0,1.289376751E2,4.652858978E-1,4.739924887E0,3.370111141E0,-1.000000000E0
6.506776917E1,5.147956907E1,5.672693023E0,1.974923784E1,6.406331505E1,7.711959250E0,1.362564240E2,4.704277524E-1,4.738316928E0,3.372371527E0,-1.000000000E0
6.606777847E1,5.147952509E1,5.672716005E0,1.809358914E1,6.240780857E1,6.535931699E0,1.487734222E2,4.731700965E-1,4.738235995E0,3.372485239E0,-1.000000000E0
6.706778789E1,5.147950399E1,5.672736494E0,1.779395140E1,6.210824308E1,5.083979796E0,1.176383634E2,4.872011292E-1,8.379160818E0,3.362671471E0,-1.000000000E0
6.806779838E1,5.147955761E1,5.672919901E0,1.795644578E1,6.227065311E1,5.262092687E0,6.647801971E1,4.948417831E-1,4.743786362E0,3.364673534E0,-1.000000000E0
6.906780875E1,5.147958114E1,5.673023565E0,1.853665978E1,6.285083988E1,6.420230578E0,6.647801971E1,5.028898486E-1,4.750057264E0,3.355814807E0,-1.000000000E0
7.006781876E1,5.147961757E1,5.673123981E0,1.873306077E1,6.304717335E1,7.255651384E0,6.647801971E1,5.111085848E-1,4.748593863E0,3.357885251E0,-1.000000000E0
7.106782889E1,5.147964676E1,5.673233018E0,1.929326520E1,6.360733575E1,7.821006596E0,6.693887329E1,5.191102813E-1,4.752724134E0,3.352036745E0,-1.000000000E0
7.206783938E1,5.147967445E1,5.673339663E0,1.942292409E1,6.373695609E1,8.073722532E0,6.693887329E1,5.278556316E-1,4.753478912E0,3.350966318E0,-1.000000000E0
7.306785035E1,5.147970244E1,5.673457683E0,1.916235599E1,6.347635336E1,8.450405651E0,6.693887329E1,5.369701268E-1,4.755449400E0,3.348169355E0,-1.000000000E0
7.406786227E1,5.147973894E1,5.673575529E0,1.907286980E1,6.338680678E1,8.811226077E0,6.693887329E1,5.463660801E-1,4.753269229E0,3.351263742E0,-1.000000000E0
7.506787312E1,5.147975748E1,5.673707900E0,1.861049476E1,6.292443161E1,9.062370519E0,6.693887329E1,5.561252530E-1,4.753203800E0,3.351356542E0,-1.000000000E0
7.606788456E1,5.147979176E1,5.673837634E0,1.899979347E1,6.331368165E1,9.390151349E0,6.700804138E1,5.660049534E-1,4.754692718E0,3.349243823E0,-1.000000000E0
7.706789577E1,5.147982699E1,5.673968604E0,1.929494861E1,6.360878576E1,9.675025396E0,6.638872528E1,5.763748322E-1,4.755830378E0,3.347628183E0,-1.000000000E0
7.806790745E1,5.147986442E1,5.674105753E0,1.952143878E1,6.383522085E1,1.007289203E1,6.638872528E1,5.868053331E-1,4.756553595E0,3.346600503E0,-1.000000000E0
7.906791878E1,5.147990208E1,5.674243703E0,1.995482903E1,6.426855569E1,1.031739121E1,6.638872528E1,5.975277511E-1,4.756285215E0,3.346981922E0,-1.000000000E0
8.006792974E1,5.147994079E1,5.674385514E0,1.976624184E1,6.407991153E1,1.054329052E1,6.638872528E1,6.080432351E-1,4.756911679E0,3.346091497E0,-1.000000000E0
