"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.120976167E0,7.155120850E-2,1.139131165E-1,9.783355408E0,9.784280189E0
1.130970167E0,1.930984497E-2,1.210981750E-1,9.842033386E0,9.842797306E0
1.140964167E0,-7.484436035E-3,9.535171509E-2,9.818532257E0,9.818998098E0
1.150958167E0,8.232879639E-3,5.478607178E-2,9.882149963E0,9.882305257E0
1.160952167E0,3.008743286E-2,3.158432007E-2,9.831704865E0,9.831801634E0
1.170946167E0,8.262817383E-2,1.930984497E-2,9.824968872E0,9.825335293E0
1.180940167E0,9.804611206E-2,4.071533203E-2,9.857750702E0,9.858322356E0
1.190934167E0,1.017883301E-1,6.376739502E-2,9.857301636E0,9.858033408E0
1.200928167E0,7.155120850E-2,8.936416626E-2,9.840686188E0,9.841352050E0
1.210922167E0,6.616241455E-2,5.224136353E-2,9.860894165E0,9.861254502E0
1.220915167E0,8.442443848E-2,4.445755005E-2,9.826316071E0,9.826779303E0
1.230909167E0,9.430389404E-2,7.753875732E-2,9.841584320E0,9.842341561E0
1.240903167E0,7.065307617E-2,8.951385498E-2,9.814939728E0,9.815602195E0
1.250897167E0,4.520599365E-2,9.879455566E-2,9.848170624E0,9.848769902E0
1.260891167E0,5.089416504E-2,8.831634521E-2,9.862840118E0,9.863366829E0
1.270885167E0,5.628295898E-2,9.101074219E-2,9.806407471E0,9.806991292E0
1.280879167E0,3.697311401E-2,1.019380188E-1,9.857151947E0,9.857748368E0
1.290873167E0,3.906875610E-2,1.255888367E-1,9.826615448E0,9.827495616E0
1.300867167E0,3.233276367E-2,1.221459961E-1,9.854607239E0,9.855417235E0
1.310861167E0,5.568420410E-2,6.855743408E-2,9.852511597E0,9.852907470E0
1.320855167E0,3.173400879E-2,6.227050781E-2,9.825867004E0,9.826115563E0
1.330849167E0,3.921844482E-2,9.580078125E-2,9.872569885E0,9.873112580E0
1.340843167E0,4.296066284E-2,7.948471069E-2,9.788594513E0,9.789011491E0
1.350837167E0,6.735992432E-2,3.532653809E-2,9.898016968E0,9.898309210E0
1.360831167E0,8.577163696E-2,4.296066284E-2,9.794731750E0,9.795201502E0
1.370825167E0,5.972579956E-2,7.783813477E-2,9.855205994E0,9.855694350E0
1.380819167E0,2.993774414E-2,9.565109253E-2,9.811646576E0,9.812158475E0
