"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.489785167E0,2.518024483E-1,-5.204155686E-1,1.255535780E0,1.382247059E0
1.499781167E0,2.722785205E-1,2.763103767E-1,7.122586942E-1,8.110459077E-1
1.509778167E0,5.698111653E-4,1.029713387E0,2.976811641E-1,1.071878753E0
1.519774167E0,-3.675246933E-1,1.840590051E0,-2.280560285E-1,1.890728878E0
1.529770167E0,-8.506181422E-1,2.506848992E0,-1.000715876E0,2.830066317E0
1.539766167E0,-1.355914931E0,2.722029452E0,-1.355120879E0,3.329309573E0
1.549762167E0,-1.961461939E0,2.643491406E0,-1.640404192E0,3.677812619E0
1.559759167E0,-2.376597294E0,2.290096070E0,-1.781188772E0,3.750385067E0
1.569755167E0,-2.335597787E0,1.830339298E0,-1.277865127E0,3.230804582E0
1.579751250E0,-2.337456032E0,1.440729671E0,-6.177396226E-1,2.814427993E0
1.589747250E0,-2.511827019E0,1.061285282E0,-1.435087985E-1,2.730603633E0
1.599743250E0,-2.530588396E0,6.054519182E-1,4.636017555E-1,2.642986235E0
1.609740250E0,-2.290833258E0,1.102617496E-1,1.085113417E0,2.537231916E0
1.619736250E0,-1.901267193E0,-1.673038964E-1,1.286634196E0,2.301789540E0
1.629732250E0,-1.151840672E0,-3.590733105E-1,1.439934742E0,1.878585276E0
1.639728250E0,5.993571460E-2,-4.787282831E-1,1.157444644E0,1.253974148E0
1.649724250E0,1.414696990E0,-3.367855517E-1,3.249566710E-1,1.490096949E0
1.659721250E0,2.312296633E0,2.850861154E-2,-5.609766072E-1,2.379542648E0
1.669717250E0,2.595148673E0,5.448226507E-1,-1.399093110E0,2.998181096E0
1.679713250E0,2.611954740E0,9.919561619E-1,-1.890358627E0,3.373387071E0
1.689709250E0,2.590555100E0,1.361427978E0,-2.088708462E0,3.595436678E0
1.699705250E0,2.486591606E0,1.627026347E0,-2.314753048E0,3.766753804E0
1.709701250E0,2.304397044E0,1.708283641E0,-2.577176086E0,3.856204781E0
